1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
3 No .	So that would be a short iced pumpkin spice chai latte . Is that right ?|So that would be a short iced pumpkin spice chai latte . Did I get that right ?|Your order is a short iced pumpkin spice chai latte . Is that right ?|Your order is a short iced pumpkin spice chai latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a strawberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short strawberry lemonade . Is that right ?|So that would be a short strawberry lemonade . Did I get that right ?|Your order is a short strawberry lemonade . Is that right ?|Your order is a short strawberry lemonade . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like an iced salted caramel mocha , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a short iced salted caramel mocha . Is that right ?|So that would be a short iced salted caramel mocha . Did I get that right ?|Your order is a short iced salted caramel mocha . Is that right ?|Your order is a short iced salted caramel mocha . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced coffee americano ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a tall iced coffee americano . Is that right ?|So that would be a tall iced coffee americano . Did I get that right ?|Your order is a tall iced coffee americano . Is that right ?|Your order is a tall iced coffee americano . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 An orange juice .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a grande orange juice . Is that right ?|So that would be a grande orange juice . Did I get that right ?|Your order is a grande orange juice . Is that right ?|Your order is a grande orange juice . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced pumpkin spice chai latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced pumpkin spice chai latte . Is that right ?|So that would be a short iced pumpkin spice chai latte . Did I get that right ?|Your order is a short iced pumpkin spice chai latte . Is that right ?|Your order is a short iced pumpkin spice chai latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a soy latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a grande soy latte . Is that right ?|So that would be a grande soy latte . Did I get that right ?|Your order is a grande soy latte . Is that right ?|Your order is a grande soy latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like an iced cinnamon dolce latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a grande iced cinnamon dolce latte . Is that right ?|So that would be a grande iced cinnamon dolce latte . Did I get that right ?|Your order is a grande iced cinnamon dolce latte . Is that right ?|Your order is a grande iced cinnamon dolce latte . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 An orange juice , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a grande orange juice . Is that right ?|So that would be a grande orange juice . Did I get that right ?|Your order is a grande orange juice . Is that right ?|Your order is a grande orange juice . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a cinnamon latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
